text_number,language,url,timestamp,source,question_score
352,en,https://apple.stackexchange.com/questions/1362,2023/3/29,stackexchange,4
353,en,https://apple.stackexchange.com/questions/1366,2023/3/29,stackexchange,12
354,en,https://apple.stackexchange.com/questions/1368,2023/3/29,stackexchange,0
355,en,https://apple.stackexchange.com/questions/1370,2023/3/29,stackexchange,3
356,en,https://apple.stackexchange.com/questions/1374,2023/3/29,stackexchange,0
357,en,https://apple.stackexchange.com/questions/1375,2023/3/29,stackexchange,1
358,en,https://apple.stackexchange.com/questions/1376,2023/3/29,stackexchange,3
359,en,https://apple.stackexchange.com/questions/1378,2023/3/29,stackexchange,1
360,en,https://apple.stackexchange.com/questions/1381,2023/3/29,stackexchange,0
361,en,https://apple.stackexchange.com/questions/1382,2023/3/29,stackexchange,0
362,en,https://apple.stackexchange.com/questions/1384,2023/3/29,stackexchange,1
363,en,https://apple.stackexchange.com/questions/1385,2023/3/29,stackexchange,4
364,en,https://apple.stackexchange.com/questions/1386,2023/3/29,stackexchange,1
365,en,https://apple.stackexchange.com/questions/1389,2023/3/29,stackexchange,0
366,en,https://apple.stackexchange.com/questions/1390,2023/3/29,stackexchange,1
367,en,https://apple.stackexchange.com/questions/1391,2023/3/29,stackexchange,6
368,en,https://apple.stackexchange.com/questions/1393,2023/3/29,stackexchange,99
369,en,https://apple.stackexchange.com/questions/1399,2023/3/29,stackexchange,3
